name,symbol,group,block,atomic-number,covalent-radius,vdW-radius
Actinium,Ac,20,f,89,2.15,2
Aluminium,Al,13,p,13,1.21,2
Americium,Am,20,f,95,1.8,2
Antimony,Sb,15,p,51,1.39,2
Argon,Ar,18,p,18,1.51,1.88
Arsenic,As,15,p,33,1.21,1.85
Astatine,At,17,p,85,1.21,2
Barium,Ba,2,s,56,2.15,2
Berkelium,Bk,20,f,97,1.54,2
Beryllium,Be,2,s,4,0.96,2
Bismuth,Bi,15,p,83,1.48,2
Bohrium,Bh,7,d,107,1.5,2
Boron,B,13,p,5,0.83,2
Bromine,Br,17,p,35,1.21,1.85
Cadmium,Cd,12,d,48,1.54,1.58
Caesium,Cs,1,s,55,2.44,2
Calcium,Ca,2,s,20,1.76,2
Californium,Cf,20,f,98,1.83,2
Carbon,C,14,p,6,0.68,1.7
Cerium,Ce,19,f,58,2.04,2
Chlorine,Cl,17,p,17,0.99,1.75
Chromium,Cr,6,d,24,1.39,2
Cobalt,Co,9,d,27,1.26,2
Copper,Cu,11,d,29,1.32,1.4
Curium,Cm,20,f,96,1.69,2
Darmstadtium,Ds,10,d,110,1.5,2
Dubnium,Db,5,d,105,1.5,2
Dysprosium,Dy,19,f,66,1.92,2
Einsteinium,Es,20,f,99,1.5,2
Erbium,Er,19,f,68,1.89,2
Europium,Eu,19,f,63,1.98,2
Fermium,Fm,20,f,100,1.5,2
Fluorine,F,17,p,9,0.64,1.47
Francium,Fr,1,s,87,2.6,2
Gadolinium,Gd,19,f,64,1.96,2
Gallium,Ga,13,p,31,1.22,1.87
Germanium,Ge,14,p,32,1.17,2
Gold,Au,11,d,79,1.36,1.66
Hafnium,Hf,4,d,72,1.75,2
Hassium,Hs,8,d,108,1.5,2
Helium,He,18,p,2,1.5,1.4
Holmium,Ho,19,f,67,1.92,2
Hydrogen,H,1,s,1,0.23,1.09
Indium,In,13,p,49,1.42,1.93
Iodine,I,17,p,53,1.4,1.98
Iridium,Ir,9,d,77,1.41,2
Iron,Fe,8,d,26,1.52,2
Krypton,Kr,18,p,36,1.5,2.02
Lanthanum,La,19,f,57,2.07,2
Lawrencium,Lr (Lw),3,d,103,1.5,2
Lead,Pb,14,p,82,1.46,2.02
Lithium,Li,1,s,3,1.28,1.82
Lutetium,Lu,3,d,71,1.87,2
Magnesium,Mg,2,s,12,1.41,1.73
Manganese,Mn,7,d,25,1.61,2
Meitnerium,Mt,9,d,109,1.5,2
Mendelevium,Md,20,f,101,1.5,2
Mercury,Hg,12,d,80,1.32,1.55
Molybdenum,Mo,6,d,42,1.54,2
Neodymium,Nd,19,f,60,2.01,2
Neon,Ne,18,p,10,1.5,1.54
Neptunium,Np,20,f,93,1.9,2
Nickel,Ni,10,d,28,1.24,1.63
Niobium,Nb,5,d,41,1.64,2
Nitrogen,N,15,p,7,0.68,1.55
Nobelium,No,20,f,102,1.5,2
Osmium,Os,8,d,76,1.44,2
Oxygen,O,16,p,8,0.68,1.52
Palladium,Pd,10,d,46,1.39,1.63
Phosphorus,P,15,p,15,1.05,1.8
Platinum,Pt,10,d,78,1.36,1.72
Plutonium,Pu,20,f,94,1.87,2
Polonium,Po,16,p,84,1.4,2
Potassium,K,1,s,19,2.03,2.75
Praseodymium,Pr,19,f,59,2.03,2
Promethium,Pm,19,f,61,1.99,2
Protactinium,Pa,20,f,91,2,2
Radium,Ra,2,s,88,2.21,2
Radon,Rn,18,p,86,1.5,2
Rhenium,Re,7,d,75,1.51,2
Rhodium,Rh,9,d,45,1.42,2
Rubidium,Rb,1,s,37,2.2,2
Ruthenium,Ru,8,d,44,1.46,2
Rutherfordium,Rf,4,d,104,1.5,2
Samarium,Sm,19,f,62,1.98,2
Scandium,Sc,3,d,21,1.7,2
Seaborgium,Sg,6,d,106,1.5,2
Selenium,Se,16,p,34,1.22,1.9
Silicon,Si,14,p,14,1.2,2.1
Silver,Ag,11,d,47,1.45,1.72
Sodium,Na,1,s,11,1.66,2.27
Strontium,Sr,2,s,38,1.95,2
Sulphur,S,16,p,16,1.02,1.8
Tantalum,Ta,5,d,73,1.7,2
Technetium,Tc,7,d,43,1.47,2
Tellurium,Te,16,p,52,1.47,2.06
Terbium,Tb,19,f,65,1.94,2
Thallium,Tl,13,p,81,1.45,1.96
Thorium,Th,20,f,90,2.06,2
Thulium,Tm,19,f,69,1.9,2
Tin,Sn,14,p,50,1.39,2.17
Titanium,Ti,4,d,22,1.6,2
Tungsten,W,6,d,74,1.62,2
Uranium,U,20,f,92,1.96,1.86
Vanadium,V,5,d,23,1.53,2
Xenon,Xe,18,p,54,1.5,2.16
Ytterbium,Yb,19,f,70,1.87,2
Yttrium,Y,3,d,39,1.9,2
Zinc,Zn,12,d,30,1.22,1.39
Zirconium,Zr,4,d,40,1.75,2
